"county","bldg_id","useful_cols_in_bldg_count"
"G4500070",159126,16
"G4500070",166253,16
"G4500070",171232,16
"G4500070",174418,16
"G4500070",189793,16
"G4500070",212543,16
"G4500070",232527,16
"G4500070",260549,16
"G4500070",12415,17
"G4500070",18207,17
"G4500070",34670,17
"G4500070",53569,17
"G4500070",62304,17
"G4500070",65415,17
"G4500070",79190,17
"G4500070",84215,17
"G4500070",88175,17
"G4500070",90227,17
"G4500070",96701,17
"G4500070",100287,17
"G4500070",104276,17
"G4500070",118783,17
"G4500070",119741,17
"G4500070",125265,17
"G4500070",126031,17
"G4500070",130315,17
"G4500070",167605,17
"G4500070",172754,17
"G4500070",177818,17
"G4500070",178819,17
"G4500070",183528,17
"G4500070",199266,17
"G4500070",209826,17
"G4500070",214392,17
"G4500070",239951,17
"G4500070",258478,17
"G4500070",260947,17
"G4500070",283296,17
"G4500070",286167,17
"G4500070",286904,17
"G4500070",290575,17
"G4500070",311488,17
"G4500070",341354,17
"G4500070",345609,17
"G4500070",345923,17
"G4500070",382884,17
"G4500070",386093,17
"G4500070",388907,17
"G4500070",392546,17
"G4500070",393049,17
"G4500070",393129,17
"G4500070",399130,17
"G4500070",404389,17
"G4500070",3177,18
"G4500070",4067,18
"G4500070",6885,18
"G4500070",25090,18
"G4500070",44867,18
"G4500070",55003,18
"G4500070",62378,18
"G4500070",87552,18
"G4500070",107793,18
"G4500070",112489,18
"G4500070",114407,18
"G4500070",129237,18
"G4500070",147966,18
"G4500070",153538,18
"G4500070",155460,18
"G4500070",163327,18
"G4500070",165895,18
"G4500070",166188,18
"G4500070",167464,18
"G4500070",171385,18
"G4500070",180894,18
"G4500070",181196,18
"G4500070",192150,18
"G4500070",211110,18
"G4500070",212727,18
"G4500070",218025,18
"G4500070",231422,18
"G4500070",233835,18
"G4500070",241639,18
"G4500070",243909,18
"G4500070",243970,18
"G4500070",244933,18
"G4500070",265641,18
"G4500070",268655,18
"G4500070",269869,18
"G4500070",273912,18
"G4500070",282235,18
"G4500070",295120,18
"G4500070",31869,19
"G4500070",42939,19
"G4500070",74755,19
"G4500070",85252,19
"G4500070",92156,19
"G4500070",110690,19
"G4500070",149840,19
"G4500070",151081,19
"G4500070",199537,19
"G4500070",206427,19
"G4500070",206764,19
"G4500070",249295,19
"G4500070",330530,19
"G4500070",30262,20
"G4500070",37602,20
"G4500070",80509,20
"G4500070",98711,20
"G4500070",121598,20
"G4500070",163441,20
"G4500070",197212,20
"G4500070",222587,20
"G4500070",227421,20
"G4500070",248381,20
"G4500070",254654,20
"G4500070",458142,20
"G4500070",508739,20
"G4500070",521688,20
"G4500070",281891,21
"G4500070",400017,21
"G4500070",370546,22
"G4500070",458899,22
"G4500090",523146,8
"G4500090",537270,8
"G4500090",64192,9
"G4500090",228607,9
"G4500090",476423,10
"G4500090",198235,15
"G4500090",128527,16
"G4500090",197153,16
"G4500090",283598,17
"G4500090",51548,18
"G4500090",13363,19
"G4500090",416629,21
"G4500110",208994,8
"G4500110",416553,8
"G4500110",89711,9
"G4500110",285527,9
"G4500110",311239,9
"G4500110",181929,11
"G4500110",62771,15
"G4500110",123023,16
"G4500110",154831,16
"G4500110",220413,16
"G4500110",155813,17
"G4500110",345710,17
"G4500110",219207,18
"G4500110",56516,19
"G4500110",83341,19
"G4500110",123193,19
"G4500110",361832,20
"G4500130",138633,6
"G4500130",50543,8
"G4500130",66239,8
"G4500130",91651,8
"G4500130",103950,8
"G4500130",119709,8
"G4500130",135334,8
"G4500130",45442,9
"G4500130",94234,9
"G4500130",230774,9
"G4500130",306901,9
"G4500130",340504,9
"G4500130",341911,9
"G4500130",396361,9
"G4500130",469808,9
"G4500130",505843,9
"G4500130",304088,10
"G4500130",307546,10
"G4500130",312955,10
"G4500130",382657,10
"G4500130",63397,11
"G4500130",110168,11
"G4500130",311911,11
"G4500130",55360,12
"G4500130",320971,12
"G4500130",441558,14
"G4500130",49755,15
"G4500130",89884,15
"G4500130",194409,15
"G4500130",208279,15
"G4500130",260707,15
"G4500130",279809,15
"G4500130",281722,15
"G4500130",435521,15
"G4500130",519825,15
"G4500130",525760,15
"G4500130",538507,15
"G4500130",34392,16
"G4500130",92279,16
"G4500130",96481,16
"G4500130",101256,16
"G4500130",138003,16
"G4500130",173006,16
"G4500130",190258,16
"G4500130",209916,16
"G4500130",212280,16
"G4500130",249562,16
"G4500130",252218,16
"G4500130",281617,16
"G4500130",7060,17
"G4500130",15234,17
"G4500130",17496,17
"G4500130",21008,17
"G4500130",48498,17
"G4500130",57144,17
"G4500130",59466,17
"G4500130",76795,17
"G4500130",77464,17
"G4500130",80446,17
"G4500130",83440,17
"G4500130",91077,17
"G4500130",96794,17
"G4500130",109443,17
"G4500130",110330,17
"G4500130",110778,17
"G4500130",113638,17
"G4500130",119606,17
"G4500130",124682,17
"G4500130",143508,17
"G4500130",144853,17
"G4500130",150536,17
"G4500130",151741,17
"G4500130",155941,17
"G4500130",165524,17
"G4500130",172924,17
"G4500130",175819,17
"G4500130",223411,17
"G4500130",227070,17
"G4500130",235486,17
"G4500130",244836,17
"G4500130",244858,17
"G4500130",273335,17
"G4500130",283119,17
"G4500130",286494,17
"G4500130",289747,17
"G4500130",294333,17
"G4500130",295835,17
"G4500130",296273,17
"G4500130",296786,17
"G4500130",310664,17
"G4500130",317854,17
"G4500130",338309,17
"G4500130",356847,17
"G4500130",4167,18
"G4500130",7504,18
"G4500130",15967,18
"G4500130",19209,18
"G4500130",20975,18
"G4500130",27488,18
